id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
2a1a6db97ff122d6bc148abb6f0e498a,szczecin,blockOfFlats,52.0,2.0,3.0,3.0,2008.0,53.4605350947556,14.5454160213269,4.26,2.0,0.753,1.049,0.595,0.674,0.229,2.2,0.307,condominium,brick,,yes,yes,no,no,no,3500
5a0cb42c088eadf75aa98a4118640048,szczecin,blockOfFlats,57.0,3.0,,10.0,1976.0,53.4409551785673,14.5660240062286,1.98,14.0,0.126,0.875,0.586,0.058,0.129,1.323,0.189,condominium,,premium,no,yes,yes,no,no,3000
996722490efcb4b34d48bb84a9a72838,szczecin,,43.4,2.0,3.0,4.0,,53.4357458,14.560764,1.37,17.0,0.265,0.373,0.385,0.364,0.116,0.714,0.211,condominium,,,no,yes,no,no,no,1900
50d75c688530b9a61ba505301e0b94a9,szczecin,apartmentBuilding,32.6,2.0,5.0,6.0,2021.0,53.4215822,14.5415725,1.3,16.0,0.081,0.565,0.223,0.482,0.151,0.689,0.192,condominium,brick,premium,no,yes,yes,no,no,2500
9b187f4203adabf466fd08610d8f4e5e,szczecin,apartmentBuilding,72.0,3.0,6.0,6.0,2014.0,53.45001,14.54723,3.1,11.0,0.313,1.065,0.331,0.234,0.496,1.387,0.315,condominium,brick,premium,no,yes,yes,no,yes,2999
ba4d70d65d1024ee13929ca82bfc92f6,szczecin,blockOfFlats,52.0,2.0,1.0,3.0,2006.0,53.4274,14.4881,4.85,6.0,0.607,0.485,0.247,0.399,0.6,3.003,0.458,condominium,concreteSlab,,yes,no,no,no,no,2300
195bf5124c9fd720ca3ff7aeff9ca83f,szczecin,blockOfFlats,45.94,2.0,4.0,10.0,1978.0,53.43356737,14.53989132,1.8,61.0,0.223,0.382,0.332,0.211,0.051,0.155,0.125,condominium,concreteSlab,,no,yes,yes,no,no,2500
03a41e8ec8ebdc1dd5a86d65ae3de54e,szczecin,blockOfFlats,54.0,2.0,,3.0,2002.0,53.4126,14.5411,1.78,3.0,0.635,0.901,0.673,0.126,0.132,1.021,0.383,condominium,brick,premium,yes,yes,yes,no,yes,2600
aae4994ab375e107dcc375f3360bd3d9,szczecin,tenement,32.0,1.0,2.0,4.0,1930.0,53.4348359,14.5488644,1.5,51.0,0.101,0.107,0.154,0.159,0.048,0.537,0.271,condominium,brick,premium,no,no,,no,no,1500
b83458393eb79b3ecdb13de56a6e2676,szczecin,blockOfFlats,76.38,3.0,1.0,1.0,1954.0,53.4354779,14.51203896,3.51,11.0,0.367,0.85,0.408,0.122,0.416,1.272,0.278,condominium,brick,premium,yes,no,no,no,no,3600
ea559b3e54c7a520718a9078cabe3af6,szczecin,,35.0,2.0,2.0,4.0,2016.0,53.42968095,14.59291267,2.23,0.0,1.607,2.572,1.595,1.895,1.386,2.071,1.459,condominium,,,no,yes,no,no,no,2100
872ce710071704670eada868273acd7a,szczecin,blockOfFlats,60.0,2.0,2.0,2.0,2011.0,53.4798,14.5409,6.41,2.0,1.505,2.846,1.195,0.772,0.445,3.131,0.257,condominium,brick,,yes,yes,no,no,no,2850
d8209a010f2f883e58a44fd934a44fa4,szczecin,blockOfFlats,51.0,2.0,1.0,3.0,2010.0,53.455611,14.46842,7.1,5.0,0.871,2.905,0.261,0.41,0.425,4.386,0.47,condominium,,premium,no,yes,no,no,no,2500
9d367adf87498634275de9607815173f,szczecin,apartmentBuilding,40.0,2.0,5.0,7.0,2021.0,53.404167,14.503333,4.38,5.0,0.834,1.803,0.337,1.177,0.067,2.558,0.21,condominium,brick,premium,yes,no,yes,no,no,3000
34a1ea9e2c896d5cac97fe431a3fedd1,szczecin,apartmentBuilding,26.0,1.0,6.0,7.0,2021.0,53.404167,14.503333,4.38,5.0,0.834,1.803,0.337,1.177,0.067,2.558,0.21,condominium,brick,premium,yes,yes,yes,no,no,2000
76944a5985ca0f9c11bc261854c7f5d2,szczecin,blockOfFlats,42.0,2.0,1.0,4.0,2000.0,53.4314073,14.541849,1.55,74.0,0.236,0.628,0.191,0.195,0.038,0.248,0.012,condominium,brick,premium,yes,yes,no,no,no,1800
755bcd527418bdc97e6fb6b4e68a81bb,szczecin,apartmentBuilding,60.0,3.0,4.0,4.0,2021.0,53.3937316,14.4928161,5.59,2.0,2.057,2.926,0.377,2.107,0.403,3.877,0.522,condominium,brick,premium,no,no,yes,no,no,3250
aed721144c902fef79166811c8027a4b,szczecin,,97.0,3.0,,3.0,2008.0,53.42968095,14.59291267,2.23,0.0,1.607,2.572,1.595,1.895,1.386,2.071,1.459,condominium,,,yes,yes,no,no,no,4400
6304f6d24240a269ba8aff49c9d54d0d,szczecin,,69.35,3.0,1.0,3.0,,53.42968095,14.59291267,2.23,0.0,1.607,2.572,1.595,1.895,1.386,2.071,1.459,condominium,,,no,yes,no,no,no,5000
d7adf3c538c6cdf7d92ac197a6373bb5,szczecin,tenement,50.6,2.0,2.0,2.0,1930.0,53.444,14.4984,4.74,5.0,0.494,0.547,0.423,0.489,0.275,2.152,0.326,condominium,brick,,yes,no,no,no,yes,2250
ab06154f64ec670ea2e55c5ac41b2bc7,szczecin,apartmentBuilding,60.85,3.0,10.0,27.0,2021.0,53.4368668,14.5530096,1.59,35.0,0.194,0.237,0.181,0.165,0.099,0.781,0.231,condominium,brick,premium,no,no,yes,no,no,4500
ea712347040eb29300c9a0ea66c2eda2,szczecin,,70.0,3.0,,2.0,1938.0,53.4131755,14.4978306,4.34,6.0,0.283,1.254,0.25,0.306,0.33,2.357,0.801,condominium,brick,premium,no,no,no,no,no,3000
39743e6f19d0f072a4851347f8eae45f,szczecin,tenement,58.39,3.0,1.0,4.0,1905.0,53.42982799,14.56251606,0.72,29.0,0.059,0.768,0.255,0.147,0.178,0.078,0.534,condominium,brick,premium,no,yes,no,no,no,3400
ffcc61d671b9c9f88c0b100776a39210,szczecin,apartmentBuilding,36.0,2.0,5.0,7.0,2022.0,53.4215,14.542,1.27,16.0,0.075,0.537,0.252,0.466,0.166,0.713,0.222,condominium,brick,,yes,yes,yes,yes,no,2400
e2c4e7633efa0c611b13f2f91647e4a5,szczecin,apartmentBuilding,30.5,1.0,4.0,26.0,2022.0,53.4291943,14.5532619,0.82,68.0,0.212,0.344,0.345,0.177,0.078,0.557,0.051,condominium,brick,premium,no,yes,yes,no,no,2600
b59156c8154adbc093eaab0cd74b5d7f,szczecin,blockOfFlats,49.36,2.0,2.0,2.0,2021.0,53.474167,14.537222,5.86,1.0,0.888,2.189,0.795,0.494,0.598,3.013,0.662,condominium,,premium,yes,no,yes,no,no,3300
35abb33bde142f599035d104199f8150,szczecin,apartmentBuilding,28.81,1.0,2.0,5.0,2014.0,53.4438433,14.5055732,4.32,9.0,0.467,0.179,0.226,0.28,0.274,1.677,0.249,condominium,brick,,no,no,yes,no,no,2000
f9496575fc7e5ce215950aae6dd10878,szczecin,apartmentBuilding,52.3,2.0,2.0,4.0,,53.4290868,14.5409901,1.47,62.0,0.081,0.545,0.158,0.159,0.103,0.169,0.122,condominium,brick,premium,no,no,,no,no,3000
934c051a7d5d62357ac5bc95bfd97091,szczecin,,30.0,2.0,2.0,10.0,,53.4265537,14.5529795,0.64,62.0,0.28,0.298,0.155,0.126,0.074,0.654,0.111,condominium,,,no,yes,yes,no,no,2700
722d0578c7622b32eeb1f5d68630a752,szczecin,,53.4,4.0,4.0,4.0,,53.44545,14.55238,2.52,15.0,0.247,0.493,0.418,0.458,0.141,1.242,0.022,condominium,,,no,no,,no,no,3400
14ec44c6474f2aaf7235b8ef0a98f17c,szczecin,tenement,45.61,2.0,1.0,4.0,1930.0,53.4314173,14.5418533,1.55,74.0,0.236,0.628,0.192,0.196,0.039,0.249,0.011,condominium,brick,premium,no,no,,no,no,2500
e9c501fee7c6cf796f97d79f887821b0,szczecin,,35.0,2.0,3.0,4.0,1970.0,53.43284552,14.55236149,1.2,56.0,0.116,0.17,0.233,0.227,0.087,0.701,0.126,condominium,concreteSlab,premium,no,no,yes,no,yes,2200
98ee431da834e6c7944b315f39ee7846,szczecin,blockOfFlats,43.04,2.0,4.0,4.0,1965.0,53.434,14.5518,1.33,56.0,0.096,0.053,0.221,0.159,0.169,0.751,0.116,condominium,,,yes,yes,no,no,no,3100
